Date,Close/Last,Volume,Open,High,Low
12/1/21,365,68804107,386.9,390.95,363.59
11/30/21,381.59,81276128,381.46,389.33,372.67
11/29/21,379,58393416,367,380.89,366.73
11/26/21,360.64,35042674,366.49,369.59,360.33
11/24/21,372,67680727,360.13,377.59,354
11/23/21,369.68,108515111,389.17,393.5,354.23
11/22/21,385.62,99217540,387.44,400.65,377.48
11/19/21,379.02,64926786,366.29,379.57,364.23
11/18/21,365.46,62696796,368.85,370.67,358.34
11/17/21,363,94336119,354.5,373.21,351.83
11/16/21,351.58,79627088,334.44,352.4,334.06
11/15/21,337.8,104326960,339.21,343.99,326.2
11/12/21,344.47,76719458,349.17,351.5,339.73
11/11/21,354.5,67189717,367.59,368.32,351.56
11/10/21,355.98,128408173,336.8,359.37,329.1
11/9/21,341.17,177317538,391.2,391.5,337.17
11/8/21,387.65,100337170,383.26,399,377.67
11/5/21,407.36,64886436,409.33,413.29,402.67
11/4/21,409.97,76192238,411.47,414.5,405.67
11/3/21,404.62,103885570,392.44,405.13,384.21
11/2/21,390.67,128213413,386.45,402.86,382
11/1/21,402.86,168146177,381.67,403.25,372.89
10/29/21,371.33,89755269,360.62,371.74,357.74
10/28/21,359.01,81639518,356.1,360.33,351.4
10/27/21,345.95,115579392,346.55,356.96,343.59
10/26/21,339.48,187244929,341.56,364.98,333.81
10/25/21,341.62,188556319,316.84,348.34,314.73
10/22/21,303.23,68642527,298.5,303.33,296.99
10/21/21,298,94444359,285.33,300,285.17
10/20/21,288.6,42096154,288.45,289.83,285.79
10/19/21,288.09,52143395,292.51,292.65,287.5
10/18/21,290.04,72621727,283.93,291.75,283.82
10/15/21,281.01,56773716,274.58,281.07,274.12
10/14/21,272.77,36741514,271.83,273.42,271.12
10/13/21,270.36,42360244,270.16,271.8,268.59
10/12/21,268.57,66060127,266.98,270.77,265.52
10/11/21,263.98,42600964,262.55,267.08,261.83
10/8/21,261.83,50215805,265.4,265.46,260.3
10/7/21,264.54,57587346,261.82,268.33,261.13
10/6/21,260.92,43898314,258.73,262.22,257.74
10/5/21,260.2,55297896,261.6,265.77,258.07
10/4/21,260.51,91450029,265.5,268.99,258.71
10/1/21,258.41,51094235,259.47,260.26,254.53
9/30/21,258.49,53867885,260.33,263.04,258.33
9/29/21,260.44,62828646,259.93,264.5,256.89
9/28/21,259.19,76144268,262.4,265.21,255.39
9/27/21,263.79,84211988,257.71,266.33,256.44
9/24/21,258.13,64119066,248.63,258.27,248.19
9/23/21,251.21,35842594,251.67,252.73,249.31
9/22/21,250.65,45378815,247.84,251.22,246.37
9/21/21,246.46,48992165,244.93,248.25,243.48
9/20/21,243.39,74272957,244.85,247.33,239.54
9/17/21,253.16,84612548,252.38,253.68,250
9/16/21,252.33,41770174,250.94,252.97,249.2
9/15/21,251.94,46073075,248.33,252.29,246.12
9/14/21,248.16,55574646,247.52,251.49,245.47
9/13/21,247.67,68857447,246.74,248.26,236.28
9/10/21,245.42,45552515,253.2,254.2,244.84
9/9/21,251.62,42233194,251.14,254.03,250.54
9/8/21,251.29,56379126,253.86,254.82,246.92
9/7/21,250.97,60119496,246.67,253.4,246.42
9/3/21,244.52,45813155,244.08,244.67,241.4
9/2/21,244.13,38390224,244.83,246.99,243.51
9/1/21,244.7,39613024,244.69,247.33,243.76
8/31/21,245.24,62566326,244.33,246.8,242.15
8/30/21,243.64,55812666,238.24,243.67,237.58
8/27/21,237.31,41501284,235,238.33,234.03
8/26/21,233.72,39642874,236.1,238.47,232.54
8/25/21,237.07,37936684,235.68,238.99,234.67
8/24/21,236.16,39249214,236.89,238.41,234.21
8/23/21,235.43,60794586,228.48,237.38,226.92
8/20/21,226.75,44525614,227.62,230.71,224.57
8/19/21,224.49,42940474,226.07,228.85,222.53
8/18/21,229.66,61048146,223.25,231.92,223.12
8/17/21,221.9,71163847,224.22,224.86,216.28
8/16/21,228.72,69309907,235.02,236.5,225.47
8/13/21,239.06,50194415,241.24,243.3,238.11
8/12/21,240.75,53045075,235.45,240.93,233.13
8/11/21,235.94,29401677,237.57,238.39,234.74
8/10/21,236.66,40296934,238,238.86,233.96
8/9/21,237.92,44146054,236.72,239.68,235.04
8/6/21,233.03,46869155,237.3,238.78,232.54
8/5/21,238.21,38758924,238.67,240.32,237.14
8/4/21,236.97,51007955,237,241.63,236.31
8/3/21,236.58,64860756,239.67,240.88,233.67
8/2/21,236.56,100847320,233.33,242.31,232.8
7/30/21,229.07,88969239,223.92,232.51,223
7/29/21,225.78,91183929,216.6,227.9,216.27
7/28/21,215.66,48019805,215.67,218.32,213.13
7/27/21,214.93,98439880,221.13,222.17,209.08
7/26/21,219.21,76009688,216.99,222.73,215.7
7/23/21,214.46,43814824,215.45,216.27,212.43
7/22/21,216.42,45317195,218.81,220.72,214.87
7/21/21,218.43,41860024,219.87,221.62,216.76
7/20/21,220.17,46461395,217.33,220.8,213.5
7/19/21,215.41,63891276,209.96,215.73,207.1
7/16/21,214.74,49112915,218.23,218.9,214.07
7/15/21,216.87,60628716,219.46,222.05,212.63
7/14/21,217.79,64923576,223.58,226.2,217.61
7/13/21,222.85,62898276,228.77,231.09,222.1
7/12/21,228.57,77781128,220.73,229.08,220.72
7/9/21,218.98,54421655,217.73,219.64,214.9
7/8/21,217.6,68319967,209.46,218.14,206.82
7/7/21,214.88,56375886,221.42,221.9,212.77
7/6/21,219.86,69853357,227.24,228,217.13
7/2/21,226.3,81292118,226.33,233.33,224.42
7/1/21,225.97,55903566,227.97,229.33,224.27
6/30/21,226.57,56774586,226.59,230.94,226.05
6/29/21,226.92,52143935,228.22,229.17,225.3
6/28/21,229.57,64884486,223.88,231.57,223.44
6/25/21,223.96,97490140,229.86,231.27,222.9
6/24/21,226.61,137947184,225,232.54,222.54
6/23/21,218.86,93297699,210.67,219.07,210.01
6/22/21,207.9,57476676,206.08,209.52,205.17
6/21/21,206.94,74438227,208.16,210.46,202.96
6/18/21,207.77,73682737,204.46,209.45,203.93
6/17/21,205.53,68104057,200.63,207.16,200.45
6/16/21,201.62,66432397,199.18,202.83,197.83
6/15/21,199.79,53292455,205.56,205.6,199.41
6/14/21,205.9,61271946,204.08,208.5,203.06
6/11/21,203.3,48615905,203.41,204.19,200.51
6/10/21,203.37,71758837,201.29,205.53,200.17
6/9/21,199.59,49753715,200.72,203.93,199.21
6/8/21,201.2,78160238,207.67,207.7,198.5
6/7/21,201.71,67631047,197.28,203.33,194.29
6/4/21,199.68,72110707,193.24,200.2,192.4
6/3/21,190.95,90335679,200.6,201.52,190.41
6/2/21,201.71,69908347,206.71,207.79,199.71
6/1/21,207.97,54254675,209.27,211.27,206.85
5/28/21,208.41,68211127,209.5,211.86,207.46
5/27/21,210.28,79111778,206.75,210.38,205.4
5/26/21,206.38,85917939,202.52,208.72,200.5
5/25/21,201.56,84017798,202.44,204.66,198.57
5/24/21,202.15,103674280,193.87,204.83,191.22
5/21/21,193.63,78091808,198.7,198.89,193.33
5/20/21,195.59,92463369,191.67,196.28,190.36
5/19/21,187.82,118735212,184.18,188.74,182.33
5/18/21,192.62,110491721,189.33,198.75,187.79
5/17/21,192.28,96743410,191.85,196.58,187.07
5/14/21,196.58,100112590,194.47,197.62,190.15
